Date,Shot,Attack Ang.,Club Path,Face To Path,Swing Dir.
2/17/2025,1,-4.4,0.4,-0.5,-1.9
2/17/2025,2,-3.6,0,-0.3,-1.7
2/17/2025,3,-3.2,2,-1.9,0.5
2/17/2025,4,-2,2.2,-4.2,1.2
2/17/2025,5,-1.2,3.8,-5.1,3.5
2/17/2025,6,-4.2,4.8,-4.6,2.8
2/17/2025,7,-2.4,1.2,-0.5,0.2
2/17/2025,8,-3.6,0.2,1.2,-1.1
2/17/2025,9,-4.4,2.6,4.6,0.9
2/17/2025,10,-2.2,4.4,-4.7,3.7
2/17/2025,11,-4,1.4,0.7,-0.2
2/17/2025,12,-3.4,3.4,-1.4,1.8
2/17/2025,13,-5.4,0.8,-3.4,-2.4
2/17/2025,14,-3.2,0.4,-2.2,-0.9
2/17/2025,15,-6.6,1.6,-,-1.4
2/17/2025,16,-5.2,1.4,-2.3,-1.2
2/17/2025,17,-4,-1,2,-2.7
2/17/2025,18,-2.8,-0.2,0.7,-1.5
2/17/2025,19,-1.8,2.8,-6.2,2.2
2/17/2025,20,-4.8,0.8,-0.5,-1.6
2/17/2025,21,-4,-1,3.9,-3.2
2/17/2025,22,-3.6,3.8,-7.4,2.2
2/17/2025,23,-4.4,-1.8,-1.9,-4.3
2/17/2025,24,-4,2.6,-3.1,0.8
2/17/2025,25,-3.6,2.2,1.5,0.4
2/17/2025,26,-5.2,0,-1,-3.1
2/17/2025,27,-4.2,1.6,-5.8,-1
2/17/2025,28,-6,0.8,3.3,-2.7
2/17/2025,29,-4.4,0.2,0,-2.1
2/17/2025,30,-4,-0.4,-4.7,-2.1
2/17/2025,31,-5.6,0.4,-0.6,-2.9
2/17/2025,32,-5.4,1.6,0.7,-1.1
2/17/2025,33,-3.8,0,-1.8,-2
2/17/2025,34,-4,-0.2,0.1,-2.3
2/17/2025,35,-4.4,0,1.8,-2.3
2/17/2025,36,-4.4,-2.8,5.5,-5
2/17/2025,37,-4.4,-1.4,0.5,-3.7
2/17/2025,38,-4.6,0,4.4,-2.2
2/17/2025,39,-4.2,0.2,1.4,-1.5
2/17/2025,40,-4.8,-0.6,0.8,-3.3
